,City,Country,Date,Latitude,Longitude,Cloudiness (%),Humidity (%),Max Temp (F),Wind Speed (mph)
591,matagami,CA,2023-03-28 12:04:56,49.7502,-77.6328,97,71,20.94800000000002,1.31
592,samusu,,,,,,,,
593,bosaso,SO,2023-03-28 12:00:53,11.2842,49.1816,69,70,84.39800000000002,1.67
594,toora-khem,RU,2023-03-28 12:04:56,52.4675,96.11,100,96,28.561999999999955,0.28
595,port-gentil,GA,2023-03-28 12:04:56,-0.7193,8.7815,76,77,82.00399999999996,5.68
596,khasan,RU,2023-03-28 12:04:56,42.4308,130.6434,42,65,38.317999999999984,2.28
597,klaksvik,FO,2023-03-28 12:04:56,62.2266,-6.589,100,70,40.38800000000005,12.2
598,tutoia,BR,2023-03-28 12:04:56,-2.7619,-42.2744,71,72,82.94000000000003,2.11
599,virden,US,2023-03-28 12:01:33,39.5009,-89.7679,100,58,44.977999999999966,3.13
600,moose factory,CA,2023-03-28 12:04:57,51.2585,-80.6094,100,87,17.167999999999985,3.05
601,pastos bons,BR,2023-03-28 12:04:57,-6.6017,-44.0767,84,67,84.03800000000004,1.89
602,karkaralinsk,,,,,,,,
603,taltal,CL,2023-03-28 12:01:45,-25.4,-70.4833,2,72,71.97799999999997,2.97
604,hamburg,DE,2023-03-28 11:54:32,53.55,10,20,57,47.42599999999999,5.14
605,axim,GH,2023-03-28 12:04:57,4.8699,-2.2405,48,69,85.06400000000004,4.63
606,saint-georges,GD,2023-03-28 12:01:43,12.0564,-61.7485,40,67,80.67200000000004,6.61
607,ust-kut,RU,2023-03-28 12:04:57,56.7938,105.7672,97,89,22.85600000000003,2.89
608,axixa do tocantins,,,,,,,,
609,faya,SA,2023-03-28 12:04:57,18.3851,42.4509,59,51,61.592,2.12
610,biltine,TD,2023-03-28 12:04:58,14.5333,20.9167,71,13,97.84399999999998,3.4
611,belfast,GB,2023-03-28 12:04:58,54.5833,-5.9333,100,83,56.26400000000004,4.63
612,tra vinh,VN,2023-03-28 12:04:58,9.9347,106.3453,87,79,80.11400000000003,4.04
613,piranhas,BR,2023-03-28 12:04:58,-16.4269,-51.8222,0,50,88.71799999999999,2.84
614,kolpashevo,RU,2023-03-28 12:04:58,58.3131,82.9089,100,90,40.351999999999975,6.41
615,santa maria,BR,2023-03-28 12:04:58,-29.6842,-53.8069,0,27,88.68200000000002,2.12
616,nampa,US,2023-03-28 12:04:58,43.5407,-116.5635,75,61,42.943999999999974,7.72
617,southbridge,US,2023-03-28 12:00:06,42.0751,-72.0334,100,97,41.935999999999964,2.7
618,nakhon si thammarat,TH,2023-03-28 12:04:59,8.25,100,75,81,78.25999999999999,0.59
619,sao felix do xingu,BR,2023-03-28 12:04:59,-6.6447,-51.995,100,87,80.76199999999996,0.95
620,codrington,AU,2023-03-28 12:04:59,-38.2667,141.9667,3,85,54.89600000000005,2.89
